"Line","","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018", "tipo"
"48","            transporte de pasajeros",7997,8588,8878,8982,9191,9383,10065,10426,11188,11836,12343,12365,12592,13341,13934,14321,15438,16153,17103,18475,19932,transporte y almacenamiento
"49","            Transporte por tuberia",3097,3223,4245,4240,3279,3192,3178,3189,3600,4062,4067,4177,4486,4819,5707,5130,5543,5981,6031,6393,6428,transporte y almacenamiento
"50","            Otras actividades de transporte",35000,37600,40151,40302,40339,41677,44548,46809,49661,52302,53302,49870,50753,52729,55176,57127,60996,65270,67043,71408,77301,transporte y almacenamiento
"51","            Almacenamiento y bodegaje",14268,15106,16375,16767,17572,18701,20667,22348,23963,25864,26637,25860,26301,27339,29175,30659,32834,36871,40267,44382,50123,transporte y almacenamiento
"53","            Industrias publicacion (incluido software)",51961,60421,66024,65379,59375,59381,59423,61442,65635,72190,72510,67577,68764,73343,78001,85155,91212,98769,104085,115600,128937,informacion
"54","            Peliculas y musica",16491,16619,17668,19184,18336,18318,19848,20195,20824,21592,22441,21360,22810,23673,24940,24411,26488,28221,29835,29783,31287,informacion
"55","            Telecomunicacion y broadcasting",72298,83824,93702,92158,85646,82709,85258,85005,87068,95271,93838,88507,86591,88246,89757,90991,93146,91558,93298,93191,93422,informacion
"56","            Servicios de procesamiento de datos",20154,26447,35966,35550,29018,27880,29841,30968,33247,25333,25289,24747,26017,28528,31566,38496,42121,48549,53513,61349,71461,informacion
"58","            Bancos reserva federal; intermediacion crediticia y relacionados",103858,110448,113885,127241,135071,150324,156887,165838,176361,178385,168068,157400,159446,168075,180402,187069,189856,201814,211690,224308,232458,finanzas y seguros
"59","            Inversiones; contratos commodities y securities",87591,99179,122383,127647,112579,108765,126170,137876,159104,187708,186748,149572,163383,172432,173589,172449,192911,195970,196218,213152,217118,finanzas y seguros
"60","            Seguros y actividades relacionadas",101598,106618,111720,118840,122061,130008,138131,143782,153266,159725,161852,157822,162202,172279,182430,185440,198597,212437,216182,229515,241453,finanzas y seguros
"61","            Fondos; fideicomisos y otros vehiculos financieros",794,855,937,998,973,1063,1274,1388,1500,545,541,514,428,456,359,465,712,945,1369,1774,2133,finanzas y seguros
"63","            Bienes raices",40193,43233,46854,48953,51305,54082,58922,63697,69303,70944,69538,63936,64686,67340,72034,75731,80631,87774,91452,97600,104262,bienes raices
"64","            Renta de bienes raices",18164,19321,21011,21431,21118,21430,22553,23612,25349,26571,26148,23639,23300,24611,26194,26646,28566,29475,29653,31371,33476,bienes raices
"66","            Servicios legales",55552,58960,64470,68935,72018,76079,79927,83377,87796,92799,95573,92521,92698,94712,97722,98829,100591,104391,107690,111716,116123,servicios profesionales cientificos y tecnicos
"67","            Servicios computacionales",67607,82161,100587,97981,86103,84712,90820,97989,109368,122117,130078,127532,136618,150369,169554,173222,188327,206303,218054,233389,252273,servicios profesionales cientificos y tecnicos
"68","            Servicios miscelaneos",191699,210593,238610,245644,244140,249374,266360,292355,322547,350035,371901,354212,361641,381236,405889,420280,447779,479129,493404,514410,549616,servicios profesionales cientificos y tecnicos
"69","        Admnistracion de companias y empresas",104709,112013,120709,119901,120658,126092,140846,153601,164687,182461,184676,173365,186217,201300,221060,231552,246652,260321,262048,278486,293551,administracion empresas
"71","            Servicios administrativos y de soporte",143937,157855,176899,180018,182469,186488,202434,216993,231538,248672,248328,224578,236240,250957,267873,277828,294685,315013,327377,344912,362885,servicios administrativos y desechos
"72","            Servicio manejo desechos y remediacion ambiental",11460,12267,12468,13037,13572,14101,15059,15982,16925,17599,18363,17783,18914,19659,20256,20506,21612,22878,23416,25126,26964,servicios administrativos y desechos
"73","        Educacion",54627,58719,63722,68724,74974,79532,84341,88276,94296,101163,108598,113857,118723,124322,129403,133631,139294,146290,151327,155017,160890,educacion
"75","            Servicios de salud ambulatorios",166311,171723,183352,195145,208217,219415,235379,249650,266460,284182,301420,314940,329732,343489,360384,372182,388371,412232,431409,452284,475980,salud
"76","            Hospitales",124499,129517,136248,147934,159536,172150,183590,193888,207456,220744,236108,247504,250018,259026,269076,274528,281921,299991,309727,322279,334232,salud
"77","            Casas de cuidado enfermeria",48116,50668,54567,58384,62193,65061,67964,70026,73976,78465,82780,85270,87717,89860,91421,93777,96994,100785,105039,107365,112401,salud
"78","            Asistencia social",29480,32847,36006,37061,40064,42935,45119,47122,50973,54824,58426,60274,62414,62612,69794,73284,77486,82701,88140,93994,100400,salud
"80","            Artes escenicas; deportes; museos y relacionados",18732,20857,23148,24502,25599,26935,28082,28703,31840,33845,35751,34761,35414,36379,38364,39506,42843,45449,48328,51165,54472,arte y entretemineto
"81","            Industrias de recreacion y apuestas",20855,22537,24850,26170,26989,27920,29131,30095,31025,32536,34014,32325,32710,33589,35457,36756,39645,41366,43513,45110,47306,arte y entretemineto
"83","            Hoteles",36877,39869,43199,43368,43050,43392,46470,48635,51139,54180,56666,51717,52561,55394,57706,60014,63285,66532,68618,72030,75730,acomodaciones
"84","            restaurantes",95647,101846,108586,113813,118853,124968,132692,139671,149763,158177,160902,157447,161776,170720,184010,194336,208499,223555,239952,254374,269313,acomodaciones
"85","        Otros servicios excepto gobierno",130827,136940,146812,150579,159861,166983,174576,178109,187905,197492,204328,198647,199163,205459,214706,221271,235137,246087,253028,263536,278035,otros servicios 
"89","                Gobierno civiles",87876,90276,96288,97152,106032,116049,123112,130164,134002,140900,148174,159448,174777,178238,176303,172209,177576,183182,188780,195107,202528,gobierno central
"90","                miltares",54048,55524,57960,62364,70824,79776,84648,90852,94332,98448,105432,111612,113544,113616,112089,109816,107976,106392,107828,108960,113572,gobierno central
"91","            Empresas de gobierno",36948,37716,40740,40068,40512,39864,42168,42336,43356,43716,42888,41160,40200,39816,39224,38384,38456,40900,39739,40048,41345,gobierno central
"94","                Educacion gobierno local",257914,272334,290446,307928,323742,335434,346261,359468,378219,398912,418718,426940,429286,429128,432481,441457,452058,467507,481080,496505,514653,gobierno local
"95","                Otros gobierno local",228169,239641,253543,268981,283602,292675,303618,313955,327694,346633,365714,372027,369413,369608,373722,380473,393083,407478,418647,433144,452787,gobierno local
"96","            Empresas de gobierno locales",36358,38275,40810,45505,48154,50154,52532,54545,56921,59935,62925,64036,63955,64445,64490,65668,67752,70177,71928,74208,77725,gobierno local
